1;2;11;1,
2;2;4;5,
3;2;2;5,
4;2;8;1,
5;3;6;1,
6;3;11;1,
7;3;16;1,
8;3;1;3,
9;4;2;10,
10;4;5;1,
11;4;3;1,
12;4;9;1,
13;4;11;1,
14;6;2;1,
15;6;1;5,
16;6;3;1,
17;6;9;1,
18;6;18;1,
19;6;19;1,
20;6;20;1,
21;14;2;20,
22;14;1;10,
23;14;3;1,
24;14;9;1,
25;14;18;1,
26;14;19;1,
27;14;20;1,
28;15;1;5,
29;15;11;1,
30;15;14;1,
31;15;20;1,
32;15;20;1,
33;16;2;30,
34;16;1;30,
35;16;3;1,
36;16;9;1,
37;16;18;1,
38;16;19;1,
39;16;20;1,
40;18;1;12,
41;18;15;1,
42;18;9;1,
43;18;8;1,
44;18;13;1,
45;18;11;1,
46;20;2;25,
47;20;1;3,
48;20;3;1,
49;20;9;1,
50;20;18;1,
51;20;19;1,
52;20;20;1,
53;20;10;1,
